id,productType,productTypeKey,name.en,categories,slug.en,_hasStagedChanges,_published,key,createdAt,lastModifiedAt,variantId,sku,images,new image name,prices,articleNumberMax,baseId,images ID,new image name
019cf50b-1a2c-4b0a-8c5d-cf235a845bb5,main,main,Starburst All Pink King 3.45 oz,Candy,starburst-all-pink-king-3-45-oz,FALSE,TRUE,f93a52ca-37be-5389-8e37-e390311ff602,2021-01-17T21:34:43.023Z,2021-01-17T21:37:26.124Z,1,f93a52ca-37be-5389-8e37-e390311ff602,https://i8.amplience.net/s/willow/000181||0x0,000181,US-USD 219,181,181,a3005252-9723-5a52-90ce-e3b55cfea7f2,000181
dfc94c11-589b-470e-a40b-c86a396fb789,main,main,Salted Caramel - Cappuccinos,Frozen Beverages,salted-caramel-cappuccinos,FALSE,TRUE,2b987714-019f-5a73-9778-af7d6b32e4d0,2021-01-17T21:34:43.123Z,2021-01-17T21:37:26.132Z,1,2b987714-019f-5a73-9778-af7d6b32e4d0,https://i8.amplience.net/s/willow/000084||0x0,000084,US-USD 369,84,84,369c14cf-b876-522b-920e-b6f57f2ac87c,000084
48b27f7f-3e64-4c0f-8b4b-f37f06bf92d9,main,main,Applewood Smoked Bacon - Egg Omelet,Breakfast - Burritos,applewood-smoked-bacon-egg-omelet,FALSE,TRUE,01ba3a19-b001-57a3-be21-d36824e35528,2021-01-17T21:32:25.551Z,2021-01-17T21:36:27.849Z,1,01ba3a19-b001-57a3-be21-d36824e35528,https://i8.amplience.net/s/willow/000039||0x0,000039,US-USD 369,39,39,b258f8d7-2cb3-5eff-aba3-1168ab35ed1f,000039
e730d055-f69f-4312-ad53-01525dca2a60,main,main,Body Armor Orange Mango 28oz,Sports Drinks & Water,body-armor-orange-mango-28-oz,FALSE,TRUE,5b21bcbd-46b5-52de-9894-0ed57fbf6c91,2021-01-17T21:34:42.849Z,2021-01-17T21:37:18.279Z,1,5b21bcbd-46b5-52de-9894-0ed57fbf6c91,https://i8.amplience.net/s/willow/000146||0x0,000146,US-USD 279,146,146,ba286ff8-ab5c-5259-b2b3-881b6466eb15,000146
fdd868e9-4dc8-4512-bf3f-036c76f39cca,main,main,Applewood Smoked Bacon - Egg White Omelet,Breakfast - Burritos,applewood-smoked-bacon-egg-white-omelet,FALSE,TRUE,287037e6-d60e-5845-b87d-8dc5d38535d4,2021-01-17T21:32:25.537Z,2021-01-17T21:37:18.223Z,1,287037e6-d60e-5845-b87d-8dc5d38535d4,https://i8.amplience.net/s/willow/000036||0x0,000036,US-USD 369,36,36,30a0c9c2-df0e-5c03-a8d4-c0dacf3a43cf,000036
8f30a8bd-1836-4114-9ccd-65f5ee77dc19,main,main,Skittles King 4 oz,Candy,skittles-king-4-oz,FALSE,TRUE,9c2a6677-6233-574a-aae0-1d436425f9bc,2021-01-17T21:34:43.046Z,2021-01-17T21:37:26.120Z,1,9c2a6677-6233-574a-aae0-1d436425f9bc,https://i8.amplience.net/s/willow/000185||0x0,000185,US-USD 219,185,185,23a87d7e-ee2a-537c-bc57-1b22bbae31ca,000185
0a8aa820-fbf8-4b15-8b85-19677c0630ab,main,main,Diet Pepsi - 2 Liter,Soda,diet-pepsi-2-liter,FALSE,TRUE,c29e75e3-d72b-51f9-b15d-dbac6160c363,2021-01-17T21:34:42.819Z,2021-01-17T21:37:18.272Z,1,c29e75e3-d72b-51f9-b15d-dbac6160c363,https://i8.amplience.net/s/willow/000139||0x0,000139,US-USD 249,139,139,4367d74a-141d-5290-930e-ba6f0fe6cc8d,000139
d9c6608d-706e-4e15-b655-e6cdbf9ab341,main,main,Chicken Salad - Club Sandwiches,Hoagies & Sandwiches,chicken-salad-club-sandwiches,FALSE,TRUE,01e41f14-ed1b-59b0-86f9-e793e91c0b20,2021-01-17T21:32:25.434Z,2021-01-17T21:36:27.853Z,1,01e41f14-ed1b-59b0-86f9-e793e91c0b20,https://i8.amplience.net/s/willow/000017||0x0,000017,US-USD 549,17,17,6443e73f-db84-5a72-b6c4-d1ca72a114c6,000017
48afc5bf-280e-4416-9fb4-6f69d6a57b4f,main,main,Frito Lay Honey BBQ Fritos 3.5 oz,"Chips, Popcorn, & Pretzels",frito-lay-honey-bbq-fritos-3-5-oz,FALSE,TRUE,5ca09f27-7e19-5497-9685-cd2c706c8588,2021-01-17T21:34:43.092Z,2021-01-17T21:37:26.093Z,1,5ca09f27-7e19-5497-9685-cd2c706c8588,https://i8.amplience.net/s/willow/000195||0x0,000195,US-USD 189,195,195,11fb1b43-a304-5487-881c-86e0ca8da4d9,000195
57e8c5a4-86df-4317-a7d1-c827579d9a99,main,main,Dr Pepper - 20oz,Soda,dr-pepper-20-oz,FALSE,TRUE,7a9c6c57-2709-50ab-9396-b18849b5e79e,2021-01-17T21:34:42.830Z,2021-01-17T21:37:18.281Z,1,7a9c6c57-2709-50ab-9396-b18849b5e79e,https://i8.amplience.net/s/willow/000141||0x0,000141,US-USD 209,141,141,ba286ff8-ab5c-5259-b2b3-881b6466eb15,000141
f1964d53-4ff5-4e18-ad27-791a2eb3833b,main,main,Monster Zero Ultra 16 oz Can,Energy Drinks,monster-zero-ultra-16-oz-can,FALSE,TRUE,6dd94e8e-1a0d-52bf-8c3a-3fb37ff67be5,2021-01-17T21:34:43.509Z,2021-01-17T21:37:26.183Z,1,6dd94e8e-1a0d-52bf-8c3a-3fb37ff67be5,https://i8.amplience.net/s/willow/000118||0x0,000118,US-USD 279,118,118,12927876-dd80-5730-9cc4-d9a700dc9cc9,000118
08ff411e-c7cc-4a1b-b5c8-c1258b472551,main,main,BLT - Cold Hoagies & Sandwiches,Hoagies & Sandwiches,blt-cold-hoagies-sandwiches,FALSE,TRUE,8490eb6a-4519-5656-b6d6-5b47dd55365a,2021-01-17T21:32:25.348Z,2021-01-17T21:36:27.802Z,1,8490eb6a-4519-5656-b6d6-5b47dd55365a,https://i8.amplience.net/s/willow/000005||0x0,000005,US-USD 369,5,5,2f5c6860-9523-52c3-92bf-cea00ecb49e4,000005
ae4ff8b5-94c7-431d-8b12-9b8a41cffec1,main,main,Banana Cream - Cream Smoothies,Frozen Beverages,banana-cream-cream-smoothies,FALSE,TRUE,c9789860-c211-5cd7-8947-760f1cb3414f,2021-01-17T21:32:25.632Z,2021-01-17T21:36:27.834Z,1,c9789860-c211-5cd7-8947-760f1cb3414f,https://i8.amplience.net/s/willow/000078||0x0,000078,US-USD 369,78,78,9c6fed61-89f1-588b-953a-112d338df89c,000078
0c065e9a-d500-481d-a537-2b9f2a17a489,main,main,Frito Lay Munchos 4.25-4.75 oz,"Chips, Popcorn, & Pretzels",frito-lay-munchos-4-25-4-75-oz,FALSE,TRUE,55be27af-945c-5e46-95c9-b7b84aa1706c,2021-01-17T21:34:43.103Z,2021-01-17T21:37:26.119Z,1,55be27af-945c-5e46-95c9-b7b84aa1706c,https://i8.amplience.net/s/willow/000197||0x0,000197,US-USD 229,197,197,ba286ff8-ab5c-5259-b2b3-881b6466eb15,000197
9c078a8f-a4ca-411f-8abd-7218972c6809,main,main,Meatballs *contains pork & beef* - Sides,Soups & Sides,meatballs-contains-pork-beef-sides,FALSE,TRUE,edc09f33-1320-53ee-af36-aef3f2d43688,2021-01-17T21:32:25.487Z,2021-01-17T21:36:27.836Z,1,edc09f33-1320-53ee-af36-aef3f2d43688,https://i8.amplience.net/s/willow/000028||0x0,000028,US-USD 269,28,28,7c1a5936-1f58-5660-8fef-a63f0159c5a8,000028
ad4a6360-f438-491f-9553-27007ad79d5c,main,main,Mozzarella String Cheese (1 oz),Fruit & Refrigerated Snacks,mozzarella-string-cheese-1-oz,FALSE,TRUE,d9160ccd-4373-50cf-b2a9-a4653868f9c4,2021-01-17T21:34:43.453Z,2021-01-17T21:37:26.187Z,1,d9160ccd-4373-50cf-b2a9-a4653868f9c4,https://i8.amplience.net/s/willow/000102||0x0,000102,US-USD 99,102,102,05b3b438-9cba-5ba3-aa2a-fe2857ef501d,000102
d2df1ab7-559a-4720-b955-8dc990174c5e,main,main,Mixed Fruit Cup 11.2oz,Fruit & Refrigerated Snacks,mixed-fruit-cup-11-2-oz,FALSE,TRUE,6a180e69-9f1f-5391-ba33-b9e46576df3f,2021-01-17T21:34:43.451Z,2021-01-17T21:36:42.225Z,1,6a180e69-9f1f-5391-ba33-b9e46576df3f,https://i8.amplience.net/s/willow/000101||0x0,000101,US-USD 339,101,101,d1d3d2de-c0ee-5576-9ffe-1a2ba788ebc0,000101
d554fab9-a68a-4b21-ba99-e375917a1df1,main,main,Apple & Peanut Butter Dipper,Fruit & Refrigerated Snacks,apple-peanut-butter-dipper,FALSE,TRUE,0b0de026-38de-5888-8e04-de4fe0462f44,2021-01-17T21:34:43.182Z,2021-01-17T21:36:36.806Z,1,0b0de026-38de-5888-8e04-de4fe0462f44,https://i8.amplience.net/s/willow/000098||0x0,000098,US-USD 299,98,98,73342070-569b-56ef-8e96-28854b25c2de,000098
3c17b734-cd54-4f22-8c8b-0a8874534559,main,main,Orbit Spearmint 14stk,Gum & Mints,orbit-spearmint-14-stk,FALSE,TRUE,467c8e21-5659-5d8f-93f9-586c9e5294a0,2021-01-17T21:34:43.185Z,2021-01-17T21:37:26.138Z,1,467c8e21-5659-5d8f-93f9-586c9e5294a0,https://i8.amplience.net/s/willow/000222||0x0,000222,US-USD 159,222,222,07b7f24a-8402-5183-a8db-65b3c543cd90,000222
