id,productType,productTypeKey,name.en,categories,slug.en,_hasStagedChanges,_published,key,createdAt,lastModifiedAt,variantId,sku,images,prices,articleNumberMax,baseId
48b27f7f-3e64-4c0f-8b4b-f37f06bf92d9,main,main,Applewood Smoked Bacon - Egg Omelet,Breakfast - Burritos,applewood-smoked-bacon-egg-omelet,FALSE,TRUE,01ba3a19-b001-57a3-be21-d36824e35528,2021-01-17T21:32:25.551Z,2021-01-17T21:36:27.849Z,1,01ba3a19-b001-57a3-be21-d36824e35528,https://i8.amplience.net/s/rezademo/000039||0x0,US-USD 369,39,39
e730d055-f69f-4312-ad53-01525dca2a60,main,main,Body Armor Orange Mango 28oz,Sports Drinks & Water,body-armor-orange-mango-28-oz,FALSE,TRUE,5b21bcbd-46b5-52de-9894-0ed57fbf6c91,2021-01-17T21:34:42.849Z,2021-01-17T21:37:18.279Z,1,5b21bcbd-46b5-52de-9894-0ed57fbf6c91,https://i8.amplience.net/s/rezademo/000146||0x0,US-USD 279,146,146
fdd868e9-4dc8-4512-bf3f-036c76f39cca,main,main,Applewood Smoked Bacon - Egg White Omelet,Breakfast - Burritos,applewood-smoked-bacon-egg-white-omelet,FALSE,TRUE,287037e6-d60e-5845-b87d-8dc5d38535d4,2021-01-17T21:32:25.537Z,2021-01-17T21:37:18.223Z,1,287037e6-d60e-5845-b87d-8dc5d38535d4,https://i8.amplience.net/s/rezademo/000036||0x0,US-USD 369,36,36
8f30a8bd-1836-4114-9ccd-65f5ee77dc19,main,main,Skittles King 4 oz,Candy,skittles-king-4-oz,FALSE,TRUE,9c2a6677-6233-574a-aae0-1d436425f9bc,2021-01-17T21:34:43.046Z,2021-01-17T21:37:26.120Z,1,9c2a6677-6233-574a-aae0-1d436425f9bc,https://i8.amplience.net/s/rezademo/000185||0x0,US-USD 219,185,185
0a8aa820-fbf8-4b15-8b85-19677c0630ab,main,main,Diet Pepsi - 2 Liter,Soda,diet-pepsi-2-liter,FALSE,TRUE,c29e75e3-d72b-51f9-b15d-dbac6160c363,2021-01-17T21:34:42.819Z,2021-01-17T21:37:18.272Z,1,c29e75e3-d72b-51f9-b15d-dbac6160c363,https://i8.amplience.net/s/rezademo/000139||0x0,US-USD 249,139,139
d9c6608d-706e-4e15-b655-e6cdbf9ab341,main,main,Chicken Salad - Club Sandwiches,Hoagies & Sandwiches,chicken-salad-club-sandwiches,FALSE,TRUE,01e41f14-ed1b-59b0-86f9-e793e91c0b20,2021-01-17T21:32:25.434Z,2021-01-17T21:36:27.853Z,1,01e41f14-ed1b-59b0-86f9-e793e91c0b20,https://i8.amplience.net/s/rezademo/000017||0x0,US-USD 549,17,17
48afc5bf-280e-4416-9fb4-6f69d6a57b4f,main,main,Frito Lay Honey BBQ Fritos 3.5 oz,"Chips, Popcorn, & Pretzels",frito-lay-honey-bbq-fritos-3-5-oz,FALSE,TRUE,5ca09f27-7e19-5497-9685-cd2c706c8588,2021-01-17T21:34:43.092Z,2021-01-17T21:37:26.093Z,1,5ca09f27-7e19-5497-9685-cd2c706c8588,https://i8.amplience.net/s/rezademo/000195||0x0,US-USD 189,195,195
57e8c5a4-86df-4317-a7d1-c827579d9a99,main,main,Dr Pepper - 20oz,Soda,dr-pepper-20-oz,FALSE,TRUE,7a9c6c57-2709-50ab-9396-b18849b5e79e,2021-01-17T21:34:42.830Z,2021-01-17T21:37:18.281Z,1,7a9c6c57-2709-50ab-9396-b18849b5e79e,https://i8.amplience.net/s/rezademo/000141||0x0,US-USD 209,141,141
f1964d53-4ff5-4e18-ad27-791a2eb3833b,main,main,Monster Zero Ultra 16 oz Can,Energy Drinks,monster-zero-ultra-16-oz-can,FALSE,TRUE,6dd94e8e-1a0d-52bf-8c3a-3fb37ff67be5,2021-01-17T21:34:43.509Z,2021-01-17T21:37:26.183Z,1,6dd94e8e-1a0d-52bf-8c3a-3fb37ff67be5,https://i8.amplience.net/s/rezademo/000118||0x0,US-USD 279,118,118
08ff411e-c7cc-4a1b-b5c8-c1258b472551,main,main,BLT - Cold Hoagies & Sandwiches,Hoagies & Sandwiches,blt-cold-hoagies-sandwiches,FALSE,TRUE,8490eb6a-4519-5656-b6d6-5b47dd55365a,2021-01-17T21:32:25.348Z,2021-01-17T21:36:27.802Z,1,8490eb6a-4519-5656-b6d6-5b47dd55365a,https://i8.amplience.net/s/rezademo/000005||0x0,US-USD 369,5,5
